Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-03-23,Entertainment,UPI,Health themselves meet movement.,123.38,0.0
2024-06-11,Rent,Net Banking,Career career.,312.98,47.62
2024-05-19,Food,Net Banking,Section win base.,392.77,0.0
2024-09-30,Groceries,UPI,Southern social decision.,266.1,0.0
2025-02-16,Bills,UPI,Meet this reason provide.,421.77,0.0
2025-01-05,Entertainment,Debit Card,Even simple.,478.6,0.0
2024-05-04,Groceries,Credit Card,Thank never nor.,214.44,8.99
2024-07-18,Entertainment,Cash,Pressure husband.,248.48,0.0
2024-09-27,Groceries,Net Banking,Than hold.,116.68,6.61
2024-09-24,Food,UPI,Make research involve.,199.15,0.0
2024-09-30,Transportation,Debit Card,Southern similar protect body.,108.63,0.0
2024-09-11,Groceries,UPI,Best personal.,473.67,0.0
2024-06-16,Rent,Cash,Wear accept Democrat husband.,482.95,0.0
2024-07-20,Food,UPI,Parent onto truth.,496.41,14.26
2024-09-04,Bills,UPI,In series item find.,163.7,0.0
2024-09-29,Transportation,Credit Card,Door return.,417.52,0.0
2024-11-26,Rent,Cash,Gun already population.,261.84,0.0
2024-05-02,Bills,Credit Card,Day hope.,108.98,33.69
2025-02-16,Bills,Credit Card,Government hour.,240.28,0.0
2024-12-21,Entertainment,Debit Card,Very every role.,480.64,30.79
2024-04-14,Food,Net Banking,Full dog country.,130.89,0.0
2024-04-13,Entertainment,Credit Card,Seem since senior general.,441.48,0.0
2024-04-01,Bills,Credit Card,Impact meet century.,473.28,0.0
