Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-09-17,Food,UPI,Over friend Mr leg.,442.43,34.2
2024-11-21,Food,Cash,Pattern thousand not marriage mother.,247.6,0.0
2024-12-09,Groceries,Net Banking,Act his few eye.,71.11,6.53
2024-07-23,Bills,Cash,Agreement just part.,303.54,0.0
2024-07-24,Rent,UPI,Early support those collection.,311.37,0.0
2024-03-22,Bills,Cash,Sometimes other work cost human.,215.21,17.71
2024-09-16,Transportation,Cash,Standard land really such where.,186.22,0.0
2024-09-18,Entertainment,Debit Card,Compare skill interest operation tax.,283.38,0.0
2025-02-16,Bills,Credit Card,Attention toward while.,163.55,0.0
2025-03-03,Food,Net Banking,Give home open.,97.33,0.0
2025-02-12,Bills,Cash,Development picture fly woman happen.,383.23,0.0
2024-07-08,Transportation,Debit Card,Smile likely bar animal.,319.95,0.0
2024-10-01,Entertainment,Net Banking,Place practice friend job affect.,360.71,0.0
2024-06-11,Entertainment,Cash,Director town city.,443.23,0.0
