Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-08-28,Bills,Cash,Land whole century must.,447.94,0.0
2024-10-31,Entertainment,Debit Card,Region about quality by alone.,164.14,4.05
2024-04-20,Groceries,Credit Card,Realize fire show why.,164.49,0.0
2025-02-14,Entertainment,Credit Card,Into nation never myself specific.,141.04,0.0
2024-03-16,Groceries,Net Banking,Yet recognize.,382.03,0.0
2024-09-18,Groceries,UPI,Stage network support employee who.,453.32,1.4
2024-05-02,Rent,Credit Card,Sometimes knowledge eye.,487.59,0.0
2024-11-16,Bills,Credit Card,Return staff smile member necessary.,106.87,1.71
2024-09-17,Groceries,Debit Card,Give huge.,188.05,0.0
2024-12-21,Groceries,Credit Card,Add trial job clear.,162.48,0.0
2024-12-27,Food,Credit Card,Plant mission final.,92.65,0.0
2024-06-23,Bills,Debit Card,Actually environment.,208.61,18.15
2024-04-30,Transportation,Debit Card,Billion red many ok.,386.57,6.56
2024-09-08,Transportation,Net Banking,Where read red ten again.,318.48,0.0
2024-10-30,Entertainment,Cash,Trial common.,62.32,0.0
2025-02-25,Entertainment,Debit Card,Sell democratic statement near.,327.69,0.0
2024-04-29,Bills,Net Banking,Economic country authority sure specific.,270.1,46.31
2024-12-12,Food,Debit Card,Can improve both.,206.65,0.0
2024-11-23,Bills,Cash,Personal ever everything.,104.0,0.0
2024-08-22,Entertainment,Cash,Service talk.,163.21,0.0
2024-09-07,Food,Debit Card,Bring but political.,476.03,0.0
2024-06-12,Entertainment,Cash,Activity environment mind partner stock.,196.2,0.0
2025-03-02,Rent,Net Banking,Indeed adult realize law.,175.85,0.0
2024-09-29,Bills,Cash,Reality science especially wear hard.,336.15,6.84
2024-11-23,Food,Net Banking,Down economic cold.,326.33,0.0
2024-11-25,Entertainment,Debit Card,Place candidate not.,211.77,13.53
2024-11-14,Food,Net Banking,Capital serve.,290.41,28.35
2024-05-15,Rent,UPI,State agency mission forward.,385.34,24.31
2024-12-10,Food,Cash,Phone voice only.,215.69,0.0
2024-12-20,Bills,Debit Card,Act ask.,421.12,0.0
2025-02-20,Bills,Net Banking,Raise look.,492.4,29.34
2024-09-08,Entertainment,Net Banking,House admit matter.,164.69,0.0
2025-02-15,Groceries,Debit Card,Many appear per economic.,289.52,0.0
2024-08-15,Groceries,Cash,Actually record partner.,306.7,0.0
2025-03-03,Entertainment,Cash,Attorney TV.,443.1,0.0
2024-09-09,Transportation,UPI,Those daughter along civil.,68.71,0.0
2024-09-29,Rent,Debit Card,Left avoid third hour event.,63.73,0.0
