Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-10,Food,UPI,Dark probably green summer choice.,66.66,4.1
2024-10-13,Groceries,Cash,Model see hundred forward least.,115.94,0.0
2024-09-16,Food,Net Banking,Born center so.,442.23,0.0
2024-04-14,Groceries,Cash,Sound fire daughter sit.,212.64,21.38
2024-08-11,Rent,UPI,Data bill follow body.,144.14,39.21
2024-09-23,Groceries,Net Banking,Feeling system war.,287.17,21.6
2024-11-06,Transportation,UPI,Control table stand.,338.31,0.0
2024-04-25,Food,UPI,Course short article.,313.01,20.31
2024-09-09,Groceries,Cash,Nation weight real eight probably.,97.0,0.0
2024-12-22,Transportation,Net Banking,Image better tax citizen him.,259.41,0.0
2024-09-08,Transportation,Debit Card,Hour produce director modern later.,109.83,0.0
2025-02-19,Transportation,Credit Card,Cut chance.,480.29,0.0
2024-07-09,Groceries,Cash,Threat want likely.,252.32,0.0
2024-07-19,Bills,Credit Card,Four everybody skin.,353.67,0.0
2024-10-17,Transportation,Cash,Range size door image parent.,460.39,0.0
2024-05-17,Rent,Debit Card,Blood nor likely town.,196.44,34.89
2024-12-26,Entertainment,Net Banking,Be wish billion.,470.17,0.0
2024-05-13,Bills,Credit Card,Growth food.,182.0,18.67
2024-06-02,Bills,Net Banking,Join skin mission.,252.2,6.83
2024-06-02,Transportation,Debit Card,Quite report anyone.,144.92,0.0
2024-05-31,Rent,Debit Card,That including somebody medical.,207.66,15.31
2024-05-08,Entertainment,UPI,Home out room marriage.,492.83,0.0
2024-06-03,Transportation,Debit Card,Per deep authority.,462.26,25.87
2024-11-26,Food,UPI,Positive claim.,395.88,0.0
2024-10-30,Food,Debit Card,Party western.,326.6,0.0
2024-07-19,Transportation,Debit Card,Democrat per baby research into.,424.54,2.04
2024-09-24,Food,UPI,Generation about paper same me.,390.91,0.0
2024-04-13,Food,UPI,Also site everyone wish plant.,138.87,0.0
2024-05-24,Groceries,Cash,Seek firm finish.,478.5,38.85
2024-03-25,Groceries,Debit Card,Particular whatever.,187.15,0.0
2024-04-18,Transportation,Net Banking,Skin fill foot painting.,196.46,38.58
2024-04-12,Rent,UPI,Challenge sister stuff true measure.,483.62,0.0
2024-12-03,Bills,Cash,Type whose here increase surface.,82.42,0.0
2024-04-06,Groceries,Cash,Economic threat might.,133.86,0.0
2024-11-23,Rent,Net Banking,Soldier machine.,423.46,0.0
2024-07-26,Food,Cash,Baby network city story hundred.,138.16,21.58
2024-07-08,Bills,Debit Card,Tend land return today.,214.59,0.0
2025-03-08,Groceries,UPI,Stand identify be.,400.76,0.0
2024-12-16,Entertainment,UPI,Country season stock.,253.12,0.0
2024-12-31,Groceries,Debit Card,Could watch walk require.,352.31,0.0
2024-03-26,Groceries,Cash,Mr design next.,331.34,0.0
2024-11-10,Entertainment,Cash,Case home.,414.06,8.82
2024-09-13,Entertainment,Credit Card,Much force stay back.,259.51,0.0
2024-07-30,Groceries,Credit Card,Political claim she difficult.,454.68,0.0
2025-01-19,Bills,Cash,Although wall form.,133.47,44.01
2024-10-18,Rent,UPI,Outside shoulder fire imagine.,380.81,3.67
2024-10-24,Rent,Debit Card,We story media whether.,196.99,3.89
2024-04-25,Bills,Debit Card,Site politics open.,477.39,0.0
2024-10-04,Bills,Cash,Health to would.,93.52,0.0
2024-05-10,Bills,UPI,Deep put key.,499.21,0.0
2025-03-06,Entertainment,Debit Card,Heavy structure must present.,160.61,0.0
2024-07-30,Rent,UPI,Why hour often pretty various.,288.6,0.0
2025-01-23,Groceries,Debit Card,Reveal he mission.,299.84,0.0
2024-12-12,Entertainment,Debit Card,Become hard offer.,425.57,0.0
2024-09-15,Bills,Debit Card,Speak age.,244.07,0.0
2024-08-13,Rent,Net Banking,Success call major.,367.14,0.0
2025-02-12,Transportation,Credit Card,Weight win analysis.,97.95,0.0
2025-02-25,Groceries,Credit Card,That surface wear than.,452.5,20.69
2024-10-17,Rent,UPI,Physical religious low.,495.69,0.0
2024-06-23,Entertainment,Cash,Summer I effect record.,98.84,0.0
2024-09-15,Bills,UPI,Significant former.,493.01,0.0
2024-11-29,Rent,Credit Card,Moment film.,371.15,0.0
2025-01-06,Transportation,Net Banking,Player view population foot.,364.89,12.73
2024-12-12,Rent,Debit Card,To increase door.,174.86,0.0
2024-11-04,Transportation,Credit Card,Year line draw story world.,77.87,0.0
2024-04-15,Food,Debit Card,Top now.,236.51,33.46
