Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2025-01-19,Transportation,Credit Card,Stuff style.,403.9,0.0
2024-04-10,Groceries,Cash,Just issue.,150.47,0.0
2024-10-01,Groceries,Credit Card,Most lawyer possible.,244.25,0.0
2024-05-31,Entertainment,Cash,Tell will bar.,346.67,36.51
2024-09-02,Transportation,Credit Card,Vote central push.,140.17,0.0
2025-01-27,Food,Debit Card,Environment next civil.,378.01,0.0
2024-07-24,Food,Cash,Law whom that over majority.,184.7,0.0
2024-04-11,Food,Debit Card,Town leader.,392.99,0.0
2024-07-23,Transportation,Net Banking,Culture blood serious response.,385.13,2.67
2024-04-14,Groceries,Cash,Relationship others.,171.27,0.0
2024-05-09,Entertainment,Credit Card,Something high among side game.,287.18,12.39
2024-07-22,Transportation,Cash,Adult mother ball what.,83.01,35.75
2024-03-27,Rent,Debit Card,Land three official.,172.37,0.0
2024-12-11,Bills,Cash,Perhaps nearly agency.,231.36,0.0
2024-11-30,Food,UPI,Likely floor college.,154.26,0.0
2025-01-04,Food,Cash,White relate central.,74.89,0.0
2025-02-24,Groceries,UPI,List kind some attention family.,326.29,0.0
2025-02-24,Rent,UPI,Art time around blood.,201.49,0.0
2024-11-08,Rent,UPI,Apply can full.,324.56,2.08
2024-06-27,Entertainment,UPI,Such check computer.,285.81,0.0
2024-04-14,Groceries,Credit Card,Whom remain officer.,489.32,0.0
2024-10-26,Entertainment,Net Banking,With item million person.,146.03,0.0
2025-01-22,Groceries,UPI,White feeling work.,494.51,0.0
2024-05-02,Food,Cash,Risk term.,325.64,3.26
2024-10-07,Groceries,Credit Card,Could participant north yard.,202.62,0.0
2025-01-28,Rent,Debit Card,Million eat dream letter.,327.62,1.91
2024-10-08,Transportation,Net Banking,Big town information painting.,208.77,6.84
2024-04-10,Bills,UPI,Customer remember.,232.37,36.99
2025-02-21,Rent,UPI,Fish husband possible part.,121.56,0.0
2025-03-16,Transportation,Debit Card,This safe.,430.19,33.66
2024-10-21,Food,Net Banking,Reduce thing similar.,443.69,0.0
2024-10-14,Food,Net Banking,Personal entire.,462.62,41.06
2024-05-22,Food,Cash,Court send eat national.,498.96,39.59
2024-08-12,Food,Debit Card,Fill pattern fine place data.,327.29,44.26
2025-02-17,Rent,Cash,Significant yet.,56.57,0.0
2024-04-29,Transportation,Net Banking,Near but employee guy magazine.,333.12,26.35
2024-03-25,Rent,Debit Card,Hard clearly face.,336.74,0.0
2024-04-27,Rent,Credit Card,South place process.,466.61,36.83
2024-07-29,Bills,Credit Card,Pay Congress audience others.,496.6,0.0
2024-10-19,Groceries,Credit Card,First down will.,458.38,0.0
2024-08-14,Food,Net Banking,Spend leader us.,176.98,0.0
2025-01-29,Groceries,Cash,City project at.,435.01,23.14
2024-10-25,Entertainment,Net Banking,Energy run show entire.,453.31,49.3
2025-02-18,Groceries,Cash,Carry note.,424.79,39.36
2024-12-06,Bills,Debit Card,Chair him sign.,131.26,14.66
2024-07-17,Bills,UPI,Information station first knowledge seem.,397.46,4.33
2024-03-27,Entertainment,Credit Card,Attorney whom shoulder customer risk.,300.26,0.0
2024-10-01,Food,UPI,Manager picture.,414.1,0.0
2024-11-25,Entertainment,Net Banking,First chair.,145.15,25.96
2024-12-12,Bills,Debit Card,Receive parent.,250.41,0.0
2024-04-23,Entertainment,Net Banking,Your learn source game reveal.,99.76,42.26
2024-07-01,Food,UPI,Memory speak out glass behind.,112.71,0.0
